 ,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,Target
241,2,6,5,1,0,0,0,0,0,0,1,0,18
242,2,6,6,1,0,0,0,0,0,0,0,0,1
243,2,6,7,1,0,0,1,0,0,0,1,0,148
244,2,6,8,1,0,0,0,0,0,0,0,0,1
245,2,6,9,1,0,0,0,0,0,0,1,0,18
246,2,6,10,1,0,0,1,0,0,0,1,0,148
247,2,6,11,1,0,0,0,0,0,0,0,0,1
248,2,6,12,1,0,0,0,0,0,0,0,0,1
249,2,6,19,0,0,0,0,0,0,0,1,0,8
250,2,6,13,1,0,0,1,0,0,0,1,0,148
251,2,6,14,1,0,0,1,0,0,0,1,0,148
252,2,6,15,1,0,0,0,0,0,0,0,0,1
253,2,6,16,1,0,0,0,0,0,0,0,0,1
254,2,6,17,1,0,0,0,0,0,0,0,0,1
255,2,6,18,1,0,0,1,0,0,0,0,0,14
256,2,7,1,1,0,0,1,0,0,0,1,0,148
257,2,7,2,1,0,0,0,0,0,0,0,0,1
258,2,7,3,1,0,0,0,0,0,0,0,0,1
259,2,7,4,1,0,0,0,0,0,0,1,0,18
260,2,7,5,1,0,0,0,0,0,0,1,0,18
261,2,7,6,1,0,0,0,0,0,0,0,0,1
262,2,7,7,1,0,0,1,0,0,0,1,0,148
263,2,7,8,1,0,0,0,0,0,0,0,0,1
264,2,7,9,1,0,0,0,0,0,0,1,0,18
265,2,7,10,1,0,0,1,0,0,0,1,0,148
266,2,7,11,1,0,0,0,0,0,0,0,0,1
267,2,7,12,1,0,0,0,0,0,0,0,0,1
268,2,7,19,0,0,0,0,0,0,0,1,0,8
269,2,7,13,1,0,0,1,0,0,0,1,0,148
270,2,7,14,1,0,0,1,0,0,0,1,0,148
271,2,7,15,1,0,0,0,0,0,0,0,0,1
272,2,7,16,1,0,0,0,0,0,0,0,0,1
273,2,7,17,1,0,0,0,0,0,0,0,0,1
274,2,7,18,1,0,0,1,0,0,0,0,0,14
275,2,8,1,1,0,0,1,0,0,0,1,0,148
276,2,8,2,1,0,0,0,0,0,0,0,0,1
277,2,8,3,1,0,0,0,0,0,0,0,0,1
278,2,8,4,1,0,0,0,0,0,0,1,0,18
279,2,8,5,1,0,0,0,0,0,0,1,0,18
280,2,8,6,1,0,0,0,0,0,0,0,0,1
281,2,8,7,1,0,0,1,0,0,0,1,0,148
282,2,8,8,1,0,0,0,0,0,0,0,0,1
283,2,8,9,1,0,0,0,0,0,0,1,0,18
284,2,8,10,1,0,0,1,0,0,0,1,0,148
285,2,8,11,1,0,0,0,0,0,0,0,0,1
286,2,8,12,1,0,0,0,0,0,0,0,0,1
287,2,8,19,0,0,0,0,0,0,0,1,0,8
288,2,8,13,1,0,0,1,0,0,0,1,0,148
289,2,8,14,1,0,0,1,0,0,0,1,0,148
290,2,8,15,1,0,0,0,0,0,0,0,0,1
291,2,8,16,1,0,0,0,0,0,0,0,0,1
292,2,8,17,1,0,0,0,0,0,0,0,0,1
293,2,8,18,1,0,0,1,0,0,0,0,0,14
294,2,9,1,1,0,0,0,0,1,0,0,0,16
295,2,9,2,1,0,0,0,0,0,0,0,0,1
296,2,9,3,1,0,0,0,0,0,0,0,0,1
297,2,9,4,1,0,0,0,0,0,0,0,0,1
298,2,9,5,1,0,0,0,0,0,0,0,0,1
299,2,9,6,1,0,0,0,0,0,0,0,0,1
300,2,9,7,1,0,0,0,0,1,0,0,0,16
301,2,9,8,1,0,0,0,0,0,0,0,0,1
302,2,9,9,1,0,0,0,0,0,0,0,0,1
303,2,9,10,1,0,0,0,0,1,0,0,0,16
304,2,9,11,1,0,0,0,0,1,0,0,0,16
305,2,9,12,1,0,0,0,0,0,0,0,0,1
307,2,9,13,1,0,0,0,0,1,0,0,0,16
308,2,9,14,1,0,0,0,0,0,0,0,0,1
